No,Tanggal,Pasar Rongtengah,Pasar Srimangunan,Rata-rata
1,1/1/2022,"Rp10,000","Rp9,000","Rp9,500"
2,1/2/2022,"Rp10,000","Rp9,000","Rp9,500"
3,1/3/2022,"Rp10,000","Rp9,000","Rp9,500"
4,1/4/2022,"Rp10,000","Rp9,000","Rp9,500"
5,1/5/2022,"Rp10,000","Rp8,000","Rp9,000"
6,1/6/2022,"Rp10,000","Rp8,000","Rp9,000"
7,1/7/2022,"Rp10,000","Rp8,000","Rp9,000"
8,1/8/2022,"Rp10,000","Rp8,000","Rp9,000"
9,1/9/2022,"Rp10,000","Rp8,000","Rp9,000"
10,1/10/2022,"Rp10,000","Rp8,000","Rp9,000"
11,1/11/2022,"Rp10,000","Rp8,000","Rp9,000"
12,1/12/2022,"Rp10,000","Rp8,000","Rp9,000"
13,1/13/2022,"Rp10,000","Rp8,000","Rp9,000"
14,1/14/2022,"Rp10,000","Rp8,000","Rp9,000"
15,1/15/2022,"Rp10,000","Rp8,000","Rp9,000"
16,1/16/2022,"Rp10,000","Rp8,000","Rp9,000"
17,1/17/2022,"Rp10,000","Rp8,000","Rp9,000"
18,1/18/2022,"Rp10,000","Rp8,000","Rp9,000"
19,1/19/2022,"Rp10,000","Rp8,000","Rp9,000"
20,1/20/2022,"Rp10,000","Rp8,000","Rp9,000"
21,1/21/2022,"Rp10,000","Rp8,000","Rp9,000"
22,1/22/2022,"Rp10,000","Rp8,000","Rp9,000"
23,1/23/2022,"Rp10,000","Rp8,000","Rp9,000"
24,1/24/2022,"Rp10,000","Rp8,000","Rp9,000"
25,1/25/2022,"Rp10,000","Rp8,000","Rp9,000"
26,1/26/2022,"Rp10,000","Rp8,000","Rp9,000"
27,1/27/2022,"Rp10,000","Rp8,000","Rp9,000"
28,1/28/2022,"Rp10,000","Rp8,000","Rp9,000"
29,1/29/2022,"Rp10,000","Rp8,000","Rp9,000"
30,1/30/2022,"Rp10,000","Rp8,000","Rp9,000"
31,1/31/2022,"Rp10,000","Rp8,000","Rp9,000"
32,2/1/2022,"Rp10,000","Rp8,000","Rp9,000"
33,2/2/2022,"Rp10,000","Rp8,000","Rp9,000"
34,2/3/2022,"Rp10,000","Rp8,000","Rp9,000"
35,2/4/2022,"Rp10,000","Rp8,000","Rp9,000"
36,2/5/2022,"Rp10,000","Rp8,000","Rp9,000"
37,2/6/2022,"Rp10,000","Rp8,000","Rp9,000"
38,2/7/2022,"Rp8,000","Rp8,000","Rp8,000"
39,2/8/2022,"Rp8,000","Rp8,000","Rp8,000"
40,2/9/2022,"Rp8,000","Rp8,000","Rp8,000"
41,2/10/2022,"Rp8,000","Rp8,000","Rp8,000"
42,2/11/2022,"Rp8,000","Rp8,000","Rp8,000"
43,2/12/2022,"Rp8,000","Rp8,000","Rp8,000"
44,2/13/2022,"Rp8,000","Rp8,000","Rp8,000"
45,2/14/2022,"Rp9,000","Rp8,500","Rp8,750"
46,2/15/2022,"Rp9,000","Rp8,500","Rp8,750"
47,2/16/2022,"Rp9,000","Rp8,500","Rp8,750"
48,2/17/2022,"Rp9,000","Rp8,500","Rp8,750"
49,2/18/2022,"Rp9,000","Rp8,500","Rp8,750"
50,2/19/2022,"Rp9,000","Rp8,500","Rp8,750"
51,2/20/2022,"Rp9,000","Rp8,500","Rp8,750"
52,2/21/2022,"Rp9,000","Rp8,500","Rp8,750"
53,2/22/2022,"Rp9,000","Rp8,500","Rp8,750"
54,2/23/2022,"Rp9,000","Rp8,500","Rp8,750"
55,2/24/2022,"Rp9,000","Rp8,500","Rp8,750"
56,2/25/2022,"Rp9,000","Rp8,500","Rp8,750"
57,2/26/2022,"Rp9,000","Rp8,500","Rp8,750"
58,2/27/2022,"Rp9,000","Rp8,500","Rp8,750"
59,2/28/2022,"Rp9,000","Rp8,500","Rp8,750"
60,3/1/2022,"Rp9,000","Rp8,500","Rp8,750"
